SEASON YEAR,WEEK,TEST ID,BLOCK,TRAP,TRAP_TYPE,TEST DATE,NUMBER OF MOSQUITOES,RESULT,SPECIES,LATITUDE,LONGITUDE,LOCATION
2011,29,31550,100XX W OHARE AIRPORT,T916,GRAVID,07/25/2011 12:07:00 AM,3,negative,CULEX PIPIENS,,,
2016,25,42613,58XX N PULASKI RD,T027,GRAVID,06/22/2016 12:06:00 AM,6,negative,CULEX RESTUANS,41.986319851,-87.728378456,"(41.986319851449004, -87.72837845617912)"
2007,27,20583,15XX W WEBSTER AVE,T045,GRAVID,07/11/2007 03:07:41 AM,4,negative,CULEX PIPIENS/RESTUANS,41.921704574,-87.666963235,"(41.92170457422864, -87.66696323469388)"
2009,38,28275,5XX S CENTRAL AVE,T031,GRAVID,09/25/2009 12:09:00 AM,4,negative,CULEX PIPIENS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2011,34,32254,58XX N PULASKI RD,T027,GRAVID,08/26/2011 12:08:00 AM,2,negative,CULEX RESTUANS,41.986319851,-87.728378456,"(41.986319851449004, -87.72837845617912)"
2012,30,34127,24XX E 105TH ST,T128,GRAVID,07/27/2012 12:07:00 AM,50,positive,CULEX PIPIENS/RESTUANS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2015,29,41361,100XX W OHARE AIRPORT,T905,GRAVID,07/23/2015 12:07:00 AM,34,negative,CULEX RESTUANS,,,
2013,23,35546,35XX W 51ST ST,T062,GRAVID,06/07/2013 12:06:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.800597087,-87.711730345,"(41.8005970872007, -87.7117303452467)"
2014,34,39742,100XX W OHARE AIRPORT,T916,GRAVID,08/21/2014 12:08:00 AM,31,positive,CULEX PIPIENS/RESTUANS,,,
2013,29,36401,100XX W OHARE AIRPORT,T912,GRAVID,07/19/2013 12:07:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2010,33,30006,100XX W OHARE,T903,GRAVID,08/20/2010 12:08:00 AM,15,negative,CULEX PIPIENS/RESTUANS,,,
2013,28,36163,24XX E 105TH ST,T128,GRAVID,07/12/2013 12:07:00 AM,27,negative,CULEX RESTUANS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2009,25,26792,100XX W OHARE AIRPORT,T913,GRAVID,06/29/2009 12:06:00 AM,36,negative,CULEX PIPIENS/RESTUANS,,,
2010,25,28567,70XX W ARMITAGE AVE,T151,GRAVID,06/25/2010 12:06:00 AM,8,negative,CULEX RESTUANS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2008,29,24723,22XX W 51ST ST,T061,GRAVID,07/23/2008 12:07:00 AM,1,negative,CULEX PIPIENS,41.801047857,-87.680424734,"(41.80104785720396, -87.68042473369341)"
